player,prop,book_line,model_prediction,edge,direction,source,prop_type,run_date,run_timestamp
Kevin Durant,PA,30.5,31.844,1.3440000000000012,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Nickeil Alexander-Walker,PA,24.5,25.835,1.3350000000000009,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jordan Goodwin,PTS,8.5,9.833,1.3330000000000002,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Kevin Huerter,RA,6.0,7.332,1.332,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Zeke Nnaji,PTS,8.5,9.831,1.3309999999999995,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jarred Vanderbilt,PTS,6.5,7.829,1.3289999999999995,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Dillon Brooks,REB,3.5,4.819,1.319,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Ayo Dosunmu,RA,6.5,7.806,1.306,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Stephen Curry,RA,8.5,9.793,1.2929999999999993,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Quinten Post,PRA,12.5,13.778,1.2780000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Ajay Mitchell,AST,2.5,3.768,1.2679999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Alex Caruso,TO,0.5,1.746,1.246,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Isaac Okoro,PTS,8.0,9.234,1.234,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Dyson Daniels,AST,6.5,7.728,1.2279999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Davion Mitchell,PTS,7.5,8.726,1.2260000000000009,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Steven Adams,PTS,5.5,6.723,1.223,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Amen Thompson,PA,24.5,25.717,1.2169999999999987,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Collin Gillespie,TO,1.5,2.712,1.2120000000000002,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Norman Powell,PTS,20.5,21.712,1.2119999999999995,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Davion Mitchell,PRA,16.5,17.698,1.1980000000000004,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Dylan Harper,PRA,13.5,14.696,1.1959999999999995,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Norman Powell,PRA,26.0,27.195,1.1950000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Davion Mitchell,PR,10.5,11.679,1.1790000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jordan Goodwin,PRA,15.5,16.675,1.1750000000000007,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Marcus Smart,RA,7.5,8.66,1.16,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jaden McDaniels,TO,1.5,2.621,1.121,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Will Richard,PTS,3.5,4.614,1.114,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Peyton Watson,REB,6.0,7.098,1.098,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Onyeka Okongwu,RA,11.5,12.589,1.0890000000000004,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jimmy Butler,PTS,20.5,21.582,1.0820000000000007,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Nickeil Alexander-Walker,RA,7.0,8.068,1.0679999999999996,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Keldon Johnson,PA,12.5,13.538,1.0380000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Norman Powell,PA,23.0,24.034,1.033999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Tre Jones,TO,1.5,2.517,1.017,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
LeBron James,PTS,23.5,24.509,1.0090000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jalen Smith,PRA,18.5,19.506,1.0060000000000002,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Nickeil Alexander-Walker,REB,3.5,4.494,0.9939999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
LeBron James,PR,30.5,31.478,0.9780000000000016,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
LeBron James,PRA,37.5,38.47,0.9699999999999988,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
LeBron James,PRA,37.5,38.47,0.9699999999999988,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Dillon Brooks,PR,23.5,24.462,0.9619999999999996,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jamal Murray,TO,2.5,3.45,0.9500000000000002,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
De'Anthony Melton,PR,14.5,15.436,0.936,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Ayo Dosunmu,TO,1.5,2.435,0.935,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Dyson Daniels,REB,6.0,6.908,0.9080000000000004,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Caleb Love,PTS,16.0,16.899,0.8990000000000009,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Keldon Johnson,RA,6.5,7.397,0.8970000000000002,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Dillon Brooks,PA,21.5,22.397,0.8969999999999985,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Toumani Camara,TO,2.5,3.367,0.867,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Matas Buzelis,RA,7.5,8.366,0.8659999999999997,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Royce O'Neale,PR,15.5,16.337,0.8369999999999997,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Draymond Green,PA,14.5,15.335,0.8350000000000009,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Derik Queen,REB,8.0,8.832,0.8320000000000007,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
De'Aaron Fox,REB,4.0,4.828,0.8280000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Chet Holmgren,REB,9.0,9.792,0.7919999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Steven Adams,STL,0.5,1.287,0.7869999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Kevin Huerter,AST,2.5,3.273,0.7730000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Reed Sheppard,RA,5.0,5.763,0.7629999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
De'Anthony Melton,PTS,11.0,11.739,0.7390000000000008,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Onyeka Okongwu,REB,8.0,8.728,0.7279999999999998,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Steven Adams,PTS,6.0,6.723,0.7229999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Grayson Allen,TO,1.5,2.219,0.7189999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Quinten Post,PA,9.5,10.219,0.7189999999999994,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Royce O'Neale,PTS,9.5,10.208,0.7080000000000002,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Kevin Durant,RA,10.0,10.684,0.6839999999999993,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
De'Aaron Fox,PTS,17.5,18.17,0.6700000000000017,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Zeke Nnaji,REB,4.5,5.144,0.6440000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jalen Smith,PR,17.5,18.13,0.629999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Stephen Curry,PA,32.5,33.12,0.6199999999999974,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jamal Murray,RA,14.5,15.112,0.6120000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jeremiah Fears,REB,3.5,4.11,0.6100000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Matas Buzelis,STL,0.5,1.095,0.595,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Matas Buzelis,REB,5.0,5.59,0.5899999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Collin Gillespie,REB,4.0,4.588,0.5880000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Dylan Harper,REB,2.5,3.08,0.5800000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jalen Williams,AST,5.5,6.072,0.5720000000000001,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
