game_date,player,prop,model_prediction,book_line,proj_min,edge,actual,stat_AST,stat_PA,stat_PR,stat_PRA,stat_PTS,stat_RA,stat_REB,stat_STL,stat_TO
2026-01-10,Taylor Hendricks,PTS,2.755,7.5,0,-4.745,7.0,False,False,False,False,True,False,False,False,False
2026-01-10,Tyler Herro,PTS,15.316,20.5,0,-5.183999999999999,21.0,False,False,False,False,True,False,False,False,False
2026-01-10,Klay Thompson,PTS,9.274,14.5,0,-5.226000000000001,10.0,False,False,False,False,True,False,False,False,False
2026-01-10,James Harden,PTS,17.657,23.5,0,-5.843,19.0,False,False,False,False,True,False,False,False,False
2026-01-10,Keyonte George,PTS,20.744,27.5,0,-6.756,4.0,False,False,False,False,True,False,False,False,False
2026-01-10,Cooper Flagg,PTS,15.683,23.5,0,-7.817,11.0,False,False,False,False,True,False,False,False,False
2026-01-10,Kyle Filipowski,PTS,5.197,13.5,0,-8.303,4.0,False,False,False,False,True,False,False,False,False
2026-01-10,Brandon Miller,PTS,12.003,20.5,0,-8.497,18.0,False,False,False,False,True,False,False,False,False
2026-01-10,Coby White,PTS,7.177,17.0,0,-9.823,22.0,False,False,False,False,True,False,False,False,False
2026-01-11,CJ McCollum,PTS,20.089,13.5,0,6.588999999999999,12.0,False,False,False,False,True,False,False,False,False
2026-01-11,Ajay Mitchell,PTS,15.511,11.5,0,4.010999999999999,16.0,False,False,False,False,True,False,False,False,False
2026-01-11,Peyton Watson,PTS,22.451,18.5,0,3.951000000000001,19.0,False,False,False,False,True,False,False,False,False
2026-01-11,Luke Kornet,PTS,10.066,6.5,0,3.5660000000000007,6.0,False,False,False,False,True,False,False,False,False
2026-01-11,Miles McBride,PTS,14.953,11.5,0,3.4529999999999994,8.0,False,False,False,False,True,False,False,False,False
2026-01-11,Julian Champagnie,PTS,14.922,11.5,0,3.4220000000000006,14.0,False,False,False,False,True,False,False,False,False
2026-01-11,Al Horford,PTS,8.901,5.5,0,3.401,5.0,False,False,False,False,True,False,False,False,False
2026-01-11,Day'Ron Sharpe,PTS,9.852,6.5,0,3.3520000000000003,8.0,False,False,False,False,True,False,False,False,False
2026-01-11,Ryan Rollins,PTS,17.826,14.5,0,3.3260000000000005,2.0,False,False,False,False,True,False,False,False,False
2026-01-11,Keon Ellis,PTS,10.205,7.0,0,3.205,0.0,False,False,False,False,True,False,False,False,False
2026-01-11,Dyson Daniels,PTS,15.625,12.5,0,3.125,11.0,False,False,False,False,True,False,False,False,False
2026-01-11,Dominick Barlow,PTS,10.59,7.5,0,3.09,13.0,False,False,False,False,True,False,False,False,False
2026-01-11,Tyrese Maxey,PTS,30.586,27.5,0,3.0859999999999985,38.0,False,False,False,False,True,False,False,False,False
2026-01-11,Jrue Holiday,REB,6.366,3.5,0,2.8659999999999997,2.0,False,False,False,False,False,False,True,False,False
