player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Alperen Sengun,TO,2.5,2.49,-0.0099999999999997,UNDER,PrizePicks,standard,TO,0.0,1.6861883083305935,-0.8138116916694065
Ryan Rollins,AST,5.0,3.485,-1.515,UNDER,PrizePicks,standard,AST,0.0,4.175949883407339,-0.8240501165926606
Jake LaRavia,PTS,13.5,11.819,-1.6809999999999992,UNDER,PrizePicks,standard,PTS,0.0,12.637595908379135,-0.8624040916208653
Julian Champagnie,PRA,21.0,26.399,5.399000000000001,OVER,PrizePicks,combo,PRA,0.0,20.135612148926825,-0.8643878510731753
Derik Queen,AST,4.5,5.888,1.388,OVER,PrizePicks,standard,AST,0.0,3.6316266422744126,-0.8683733577255874
Jordan Goodwin,REB,4.5,4.413,-0.0869999999999997,UNDER,PrizePicks,standard,REB,0.0,3.620353107403867,-0.8796468925961332
Ayo Dosunmu,AST,4.0,4.399,0.399,OVER,PrizePicks,standard,AST,0.0,3.1106944045074862,-0.8893055954925138
Ryan Rollins,PR,19.5,19.339,-0.1610000000000013,UNDER,PrizePicks,combo,PR,0.0,18.604695842394054,-0.8953041576059455
Shai Gilgeous-Alexander,PR,36.0,32.5,-3.5,UNDER,PrizePicks,combo,PR,0.0,35.09548835222875,-0.9045116477712511
Dylan Harper,REB,2.5,3.08,0.5800000000000001,OVER,PrizePicks,standard,REB,0.0,1.5921867476912435,-0.9078132523087565
Donovan Clingan,RA,14.5,13.477,-1.0229999999999997,UNDER,PrizePicks,combo,RA,0.0,13.584069217672667,-0.915930782327333
Jalen Pickett,AST,5.0,3.754,-1.246,UNDER,PrizePicks,standard,AST,0.0,4.059371672699489,-0.9406283273005114
Oso Ighodaro,REB,5.0,3.77,-1.23,UNDER,PrizePicks,standard,REB,0.0,4.032026686240697,-0.9679733137593027
Bryce McGowens,REB,2.5,2.909,0.4089999999999998,OVER,PrizePicks,standard,REB,0.0,1.526861001672353,-0.973138998327647
Julius Randle,RA,14.0,11.232,-2.7680000000000007,UNDER,PrizePicks,combo,RA,0.0,13.004291051245007,-0.9957089487549933
Onyeka Okongwu,REB,8.0,8.728,0.7279999999999998,OVER,PrizePicks,standard,REB,0.0,6.984090369514144,-1.0159096304858561
Royce O'Neale,PRA,18.0,18.55,0.5500000000000007,OVER,PrizePicks,combo,PRA,0.0,16.962190356939303,-1.0378096430606973
Bam Adebayo,PTS,14.5,11.514,-2.9860000000000007,UNDER,PrizePicks,standard,PTS,0.0,13.448898896603458,-1.051101103396542
Amen Thompson,PA,24.5,25.717,1.2169999999999987,OVER,PrizePicks,combo,PA,0.0,23.432309579338305,-1.0676904206616946
Jarred Vanderbilt,REB,7.0,4.743,-2.2569999999999997,UNDER,PrizePicks,standard,REB,0.0,5.924530310555918,-1.0754696894440823
Peyton Watson,PRA,30.0,33.22,3.219999999999999,OVER,PrizePicks,combo,PRA,0.0,28.91031399268988,-1.0896860073101209
Tre Jones,PRA,21.5,19.283,-2.2169999999999987,UNDER,PrizePicks,combo,PRA,0.0,20.391748253018264,-1.1082517469817361
Zion Williamson,PR,30.0,24.7,-5.300000000000001,UNDER,PrizePicks,combo,PR,0.0,28.87067416232884,-1.1293258376711606
Jordan Poole,PR,14.5,12.916,-1.5839999999999996,UNDER,PrizePicks,combo,PR,0.0,13.36671448441039,-1.1332855155896109
Myles Turner,REB,5.0,4.204,-0.7960000000000003,UNDER,PrizePicks,standard,REB,0.0,3.860784766677487,-1.139215233322513
Mike Conley,REB,2.5,1.69,-0.81,UNDER,PrizePicks,standard,REB,0.0,1.3589180042204663,-1.1410819957795337
Shaedon Sharpe,RA,8.0,7.981,-0.0190000000000001,UNDER,PrizePicks,combo,RA,0.0,6.849488099449441,-1.1505119005505593
Jalen Smith,PA,11.5,10.874,-0.6259999999999994,UNDER,PrizePicks,combo,PA,0.0,10.333666477964002,-1.1663335220359983
Moses Moody,PRA,12.5,11.173,-1.327,UNDER,PrizePicks,combo,PRA,0.0,11.331448276635204,-1.1685517233647964
Grayson Allen,PTS,13.0,11.276,-1.7240000000000002,UNDER,PrizePicks,standard,PTS,0.0,11.829719520388009,-1.170280479611991
Peyton Watson,REB,6.0,7.098,1.098,OVER,PrizePicks,standard,REB,0.0,4.828853159703011,-1.1711468402969887
Amen Thompson,AST,5.0,4.373,-0.6269999999999998,UNDER,PrizePicks,standard,AST,0.0,3.7511642654782467,-1.2488357345217533
Dillon Brooks,REB,3.5,4.819,1.319,OVER,PrizePicks,standard,REB,0.0,2.2504448605910543,-1.2495551394089457
Will Richard,PRA,6.5,9.464,2.9640000000000004,OVER,PrizePicks,combo,PRA,0.0,5.213583106988909,-1.2864168930110909
Devin Booker,PRA,37.0,32.32,-4.68,UNDER,PrizePicks,combo,PRA,0.0,35.71006269076396,-1.2899373092360378
Quinten Post,PTS,7.5,8.896,1.3960000000000008,OVER,PrizePicks,standard,PTS,0.0,6.161514324932887,-1.3384856750671128
Jordan Poole,PTS,12.5,10.426,-2.074,UNDER,PrizePicks,standard,PTS,0.0,11.13711364598728,-1.3628863540127192
Draymond Green,PA,14.5,15.335,0.8350000000000009,OVER,PrizePicks,combo,PA,0.0,13.095019105737675,-1.4049808942623248
Jeremiah Fears,REB,3.5,4.11,0.6100000000000003,OVER,PrizePicks,standard,REB,0.0,2.083904082220019,-1.4160959177799808
Jeremiah Fears,PTS,12.5,14.583,2.083,OVER,PrizePicks,standard,PTS,0.0,11.070671462511573,-1.429328537488427
Alperen Sengun,RA,15.0,11.076,-3.923999999999999,UNDER,PrizePicks,combo,RA,0.0,13.57040272285304,-1.4295972771469607
Kevin Huerter,PA,14.5,16.366,1.8659999999999997,OVER,PrizePicks,combo,PA,0.0,13.067753722166199,-1.4322462778338014
Jalen Smith,PTS,10.0,9.497,-0.5030000000000001,UNDER,PrizePicks,standard,PTS,0.0,8.559626092743649,-1.440373907256351
Donovan Clingan,PA,14.5,14.173,-0.3269999999999999,UNDER,PrizePicks,combo,PA,0.0,13.042140806638043,-1.4578591933619567
Brandin Podziemski,REB,3.5,3.652,0.1520000000000001,OVER,PrizePicks,standard,REB,0.0,2.0256842563419273,-1.4743157436580727
Mark Williams,PR,21.0,15.779,-5.221,UNDER,PrizePicks,combo,PR,0.0,19.481579038251727,-1.518420961748273
Julius Randle,PTS,23.5,18.472,-5.027999999999999,UNDER,PrizePicks,standard,PTS,0.0,21.952151616155884,-1.5478483838441157
Giannis Antetokounmpo,PA,36.0,32.488,-3.5120000000000005,UNDER,PrizePicks,combo,PA,0.0,34.438252329227936,-1.5617476707720641
Draymond Green,RA,12.0,11.137,-0.8629999999999995,UNDER,PrizePicks,combo,RA,0.0,10.436643869223808,-1.5633561307761923
Onyeka Okongwu,PTS,16.5,13.751,-2.749000000000001,UNDER,PrizePicks,standard,PTS,0.0,14.920704285954143,-1.5792957140458572
Quinten Post,PA,9.5,10.219,0.7189999999999994,OVER,PrizePicks,combo,PA,0.0,7.913296591963851,-1.5867034080361488
Mark Williams,PTS,12.0,8.787,-3.212999999999999,UNDER,PrizePicks,standard,PTS,0.0,10.40094914585059,-1.5990508541494108
Sidy Cissoko,PA,10.5,10.1,-0.4000000000000003,UNDER,PrizePicks,combo,PA,0.0,8.893820103868777,-1.6061798961312235
Kevin Huerter,PR,15.5,17.152,1.652000000000001,OVER,PrizePicks,combo,PR,0.0,13.892562556112113,-1.6074374438878873
Draymond Green,PR,15.5,13.363,-2.1370000000000005,UNDER,PrizePicks,combo,PR,0.0,13.889020946308586,-1.6109790536914144
Caleb Love,PA,20.5,19.633,-0.8670000000000009,UNDER,PrizePicks,combo,PA,0.0,18.88708538572086,-1.6129146142791413
Jalen Johnson,PR,33.0,30.645,-2.3550000000000004,UNDER,PrizePicks,combo,PR,0.0,31.38598382103783,-1.6140161789621708
Kevin Huerter,REB,3.5,4.059,0.5590000000000002,OVER,PrizePicks,standard,REB,0.0,1.8785857696847412,-1.6214142303152588
Jalen Williams,AST,5.5,6.072,0.5720000000000001,OVER,PrizePicks,standard,AST,0.0,3.863100290776617,-1.6368997092233828
Draymond Green,PRA,21.5,19.918,-1.5820000000000007,UNDER,PrizePicks,combo,PRA,0.0,19.84481466964223,-1.6551853303577708
